playerId,playerName,position,positionGroup,team,age,gp_proj,injury_risk,proj_goals,proj_assists,proj_shots,proj_hits,proj_blocks,rate_goals,rate_assists,rate_shots,rate_hits,rate_blocks,ageMult_scoring,ageMult_physical,toiHist,toiProj,toiMult,shPct_last,shPct_proj,shPct_flag,fantasyPoints_default,fppg_default,vorp_default,vorpPG_default,replacement_baseline,replacement_fppg,tier_default,fppg_y1,fppg_y2,fppg_y3,fppg_delta_y2_y1,fppg_delta_y3_y2,gp_y1,gp_y2,gp_y3,toi_y1,toi_y2,toi_y3,toi_trend,slope_per60,role_volatility,trend_label,confidence,seasonsPlayed,careerGP
8477492,Nathan MacKinnon,C,F,COL,31.42,78.1,False,39.96,71.57,314.45,47.88,45.75,0.51144,0.91616,4.02496,0.61281,0.58566,0.9294,0.9294,22.57,22.32,0.9888,15.14,12.65,negative regression,260.03,3.328,133.39,1.508,126.64,1.82,S++,4.041,3.366,3.682,-0.675,0.316,82,79,80,22.81,22.78,22.26,-0.276,-0.3528,0.2282,Stable,High,3,241
8478402,Connor McDavid,C,F,EDM,30.05,74.6,False,35.21,85.11,254.94,59.33,28.13,0.47187,1.1405,3.41632,0.79505,0.37693,0.9715,0.9715,22.29,23.04,1.0334,15.69,13.55,negative regression,258.04,3.458,131.4,1.638,126.64,1.82,S++,3.825,3.085,3.602,-0.74,0.517,76,67,82,21.36,22.03,22.98,0.813,-0.6705,0.4272,Volatile,High,3,225
8477956,David Pastrnak,R,F,BOS,30.69,77.9,False,35.84,61.75,290.96,68.74,24.72,0.45983,0.79231,3.73326,0.88202,0.31724,0.9516,0.9516,20.31,20.64,1.0164,11.11,12.42,neutral,230.35,2.956,103.71,1.136,126.64,1.82,S++,3.249,3.029,3.014,-0.22,-0.015,82,82,77,19.93,20.19,20.66,0.363,-0.5143,0.2032,Stable,High,3,241
8481542,Moritz Seider,D,D,DET,25.82,79.5,False,9.98,45.15,180.12,192.23,205.02,0.12551,0.56799,2.26564,2.41795,2.57887,1.061,1.061,24.64,26.16,1.0615,5.35,5.62,neutral,224.91,2.829,103.83,1.115,121.08,1.714,S++,2.49,2.476,2.581,-0.014,0.105,82,82,82,22.36,25.07,25.67,1.653,-0.3234,0.1959,Stable,High,3,246
8480069,Cale Makar,D,D,COL,28.26,75.9,False,21.73,61.59,221.01,41.19,128.62,0.2864,0.81168,2.91277,0.54291,1.69522,1.0151,1.0151,25.13,25.16,1.0014,10.05,9.2,neutral,222.25,2.929,101.17,1.215,121.08,1.714,S++,3.108,3.061,2.755,-0.047,-0.306,77,80,75,24.77,25.72,24.85,0.039,-0.4381,0.116,Stable,High,3,232
8476453,Nikita Kucherov,R,F,TBL,33.63,76.4,False,32.21,70.71,209.8,27.84,25.8,0.42137,0.92506,2.74466,0.36428,0.33749,0.8489,0.8489,20.97,20.36,0.9708,19.05,14.88,negative regression,216.55,2.833,89.91,1.013,126.64,1.82,S++,3.767,3.281,3.539,-0.486,0.258,81,78,76,21.67,21.19,20.34,-0.667,0.0061,0.1352,Stable,High,3,235
8484801,Macklin Celebrini,C,F,SJS,20.64,61.1,False,34.42,54.01,258.08,45.73,52.04,0.56308,0.88363,4.22224,0.74817,0.85139,1.1568,1.1568,20.7,22.1,1.0677,15.68,13.14,negative regression,215.93,3.533,89.29,1.713,126.64,1.82,S++,,2.405,3.259,,0.854,0,70,82,,19.79,21.32,1.528,1.8798,0.0895,Rising,Medium,2,152
8480803,Evan Bouchard,D,D,EDM,27.29,79.3,False,17.51,65.77,231.46,41.92,107.93,0.2208,0.82927,2.91827,0.5286,1.3608,1.0318,1.0318,23.85,24.62,1.0323,9.5,7.26,negative regression,214.56,2.705,93.48,0.991,121.08,1.714,S++,2.666,2.277,2.772,-0.389,0.495,81,82,82,23.0,23.46,24.68,0.841,-0.1082,0.2643,Volatile,High,3,245
8480027,Jason Robertson,L,F,DAL,27.53,79.5,False,37.31,49.77,255.75,61.13,37.92,0.46936,0.62604,3.21699,0.76893,0.47701,1.0111,1.0111,18.95,19.83,1.0466,15.31,14.26,neutral,213.14,2.681,86.5,0.861,126.64,1.82,S++,2.383,2.401,2.83,0.018,0.429,82,82,82,18.32,17.79,20.25,0.964,0.2916,0.2141,Rising,High,3,246
8479318,Auston Matthews,C,F,TOR,29.38,68.7,False,38.89,34.79,270.14,54.74,85.71,0.56616,0.50644,3.93288,0.79693,1.24788,0.9823,0.9823,20.74,20.67,0.9964,11.89,14.51,positive regression,211.42,3.078,84.78,1.258,126.64,1.82,S++,3.712,3.176,2.73,-0.536,-0.446,81,67,60,20.97,20.47,20.8,-0.081,-1.3752,0.153,Stable,High,3,208
